TECHNIQUE ATT&CK ID, CONGLOMERATE CVSS 3.1 RISK SCORES FROM CVE SCRAPING, LIST OF CVE ID MATCHING TECHNIQUE
T1603,{'baseScore': 6.64, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1638,{'baseScore': 6.6, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1626,{'baseScore': 6.85, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1663,{'baseScore': 6.84, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1630.001,{'baseScore': 6.67, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1630,{'baseScore': 6.95, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1474,{'baseScore': 5.66, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1430.002,{'baseScore': 7.7, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1655.001,{'baseScore': 6.24, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1636,{'baseScore': 6.76, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1521.002,{'baseScore': 7.63, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1418,{'baseScore': 6.82, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1424,{'baseScore': 6.69, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1636.002,{'baseScore': 6.13, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1418.001,{'baseScore': 6.44, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1631.001,{'baseScore': 6.91, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1629,{'baseScore': 6.7, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1428,{'baseScore': 7.52, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1437.001,{'baseScore': 6.59, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1635,{'baseScore': 6.49, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1628.002,{'baseScore': 6.84, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1633,{'baseScore': 6.62, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1661,{'baseScore': 6.59, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1623,{'baseScore': 7.42, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1629.003,{'baseScore': 6.24, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1544,{'baseScore': 6.42, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1637,{'baseScore': 6.03, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1423,{'baseScore': 6.31, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1646,{'baseScore': 6.7, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1404,{'baseScore': 6.85, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1616,{'baseScore': 6.62, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1639.001,{'baseScore': 7.0, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1624.001,{'baseScore': 5.7, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'HIGH'}
T1517,{'baseScore': 6.17, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1639,{'baseScore': 7.12, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1398,{'baseScore': 5.34, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1627,{'baseScore': 7.95, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1417.002,{'baseScore': 6.64, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1645,{'baseScore': 6.22, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1406.002,{'baseScore': 6.83, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1575,{'baseScore': 6.79, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1658,{'baseScore': 6.91, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1604,{'baseScore': 6.54, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1541,{'baseScore': 6.62, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1458,{'baseScore': 6.57, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1429,{'baseScore': 7.24, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1625,{'baseScore': 7.8, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1623.001,{'baseScore': 7.64, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1437,{'baseScore': 6.69, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1407,{'baseScore': 7.32, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1633.001,{'baseScore': 6.89, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1409,{'baseScore': 6.49, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1513,{'baseScore': 6.9, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1641.001,{'baseScore': 6.54, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1474.001,{'baseScore': 6.0, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1635.001,{'baseScore': 5.76, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1632,{'baseScore': 7.37, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'HIGH'}
T1634.001,{'baseScore': 6.6, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1481.002,{'baseScore': 7.98, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1509,{'baseScore': 7.11, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1474.003,{'baseScore': 6.08, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1481.001,{'baseScore': 8.15, 'attackComplexity': 'HIGH', 'confidentialityImpact': None, 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1430,{'baseScore': 7.26, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1626.001,{'baseScore': 6.15, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1430.001,{'baseScore': 7.29, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1662,{'baseScore': 6.53, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1417,{'baseScore': 6.64, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1643,{'baseScore': 6.38, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1630.003,{'baseScore': 6.76, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1636.001,{'baseScore': 5.8, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'HIGH'}
T1630.002,{'baseScore': 7.26, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1629.002,{'baseScore': 6.08, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1417.001,{'baseScore': 6.6, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1582,{'baseScore': 6.56, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1631,{'baseScore': 7.4, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1521.001,{'baseScore': 7.63, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1474.002,{'baseScore': 5.72, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1414,{'baseScore': 6.54, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1641,{'baseScore': 6.54, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1636.004,{'baseScore': 6.47, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1481,{'baseScore': 6.74, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1625.001,{'baseScore': 6.89, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1634,{'baseScore': 6.4, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1617,{'baseScore': 6.65, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1420,{'baseScore': 7.15, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1406,{'baseScore': 6.24, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1516,{'baseScore': 6.95, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1464,{'baseScore': 6.34, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1577,{'baseScore': 6.12, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1624,{'baseScore': 7.54, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1422,{'baseScore': 6.41, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1512,{'baseScore': 7.57, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'NONE'}
T1481.003,{'baseScore': 6.53, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1471,{'baseScore': 6.6, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1629.001,{'baseScore': 6.5, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1421,{'baseScore': 6.42, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1660,{'baseScore': 5.17, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1461,{'baseScore': 6.62, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1636.003,{'baseScore': 6.23, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1533,{'baseScore': 6.44, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1640,{'baseScore': 6.21, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1426,{'baseScore': 6.62, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1532,{'baseScore': 6.52, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1627.001,{'baseScore': 6.66, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1642,{'baseScore': 6.61, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1644,{'baseScore': 6.44, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1521,{'baseScore': 5.97, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1628.001,{'baseScore': 6.59, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1655,{'baseScore': 6.4, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'NONE', 'privilegesRequired': 'HIGH'}
T1406.001,{'baseScore': 6.59, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1628,{'baseScore': 7.38, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1632.001,{'baseScore': 7.44, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1637.001,{'baseScore': 6.73, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1456,{'baseScore': 6.35, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
